Season,Team,Pace,2P,0-3,3-10,10-16,16-3P,3P
2022,San Antonio Spurs,99.2,0.527,0.674,0.455,0.441,0.413,0.352
2022,Toronto Raptors,98.6,0.503,0.654,0.438,0.429,0.366,0.349
2022,Utah Jazz,100.9,0.568,0.729,0.481,0.458,0.396,0.36
2022,Washington Wizards,98.3,0.543,0.725,0.455,0.429,0.425,0.342
2023,Atlanta Hawks,98.5,0.548,0.696,0.44,0.486,0.439,0.352
2023,Boston Celtics,95.7,0.567,0.732,0.466,0.463,0.39,0.377
2023,Brooklyn Nets,96.9,0.559,0.701,0.459,0.489,0.494,0.378
2023,Chicago Bulls,101.1,0.555,0.683,0.474,0.464,0.446,0.361
2023,Charlotte Hornets,100.5,0.528,0.688,0.384,0.439,0.385,0.33
2023,Cleveland Cavaliers,98.1,0.559,0.717,0.44,0.45,0.378,0.367
2023,Dallas Mavericks,97.1,0.574,0.708,0.499,0.47,0.396,0.371
2023,Denver Nuggets,100.3,0.575,0.758,0.477,0.401,0.421,0.379
2023,Detroit Pistons,98.2,0.516,0.677,0.431,0.432,0.413,0.351
2023,Golden State Warriors,99.1,0.564,0.71,0.54,0.407,0.413,0.385
2023,Houston Rockets,101.6,0.53,0.678,0.436,0.448,0.366,0.327
2023,Indiana Pacers,97.1,0.54,0.679,0.425,0.414,0.402,0.367
2023,Los Angeles Clippers,98.5,0.539,0.692,0.475,0.45,0.408,0.381
2023,Los Angeles Lakers,101.1,0.555,0.728,0.46,0.425,0.397,0.346
2023,Memphis Grizzlies,98.3,0.548,0.688,0.446,0.447,0.386,0.351
2023,Miami Heat,101.3,0.54,0.683,0.48,0.471,0.411,0.344
2023,Milwaukee Bucks,98.0,0.557,0.724,0.443,0.429,0.417,0.368
2023,Minnesota Timberwolves,100.7,0.568,0.723,0.439,0.451,0.399,0.365
2023,New Orleans Pelicans,96.6,0.541,0.698,0.444,0.484,0.343,0.364
2023,New York Knicks,101.0,0.547,0.679,0.46,0.424,0.404,0.354
2023,Oklahoma City Thunder,96.3,0.53,0.658,0.413,0.469,0.424,0.356
2023,Orlando Magic,100.5,0.539,0.713,0.44,0.427,0.398,0.346
